,query,region,title,excerpt,date,source,link
73,semiconductor,china,SoftBank's plan to sell Arm to NVIDIA is hitting antitrust wall ...,"Arm, the world's leading supplier of semiconductor intellectual property 
... China's antitrust watchdog, the State Administration for Market ...",23 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Technology/SoftBank-s-plan-to-sell-Arm-to-NVIDIA-is-hitting-antitrust-wall-around-the-world
74,semiconductor,china,A World Divided: The Conflict with Chinese Techno ...,"A World Divided: The Conflict with Chinese Techno-Nationalism Isn't Coming 
... Republic of China and semiconductor manufacturing in Taiwan.",28 Jan 2021,War on the Rocks,https://warontherocks.com/2021/01/a-world-divided-the-conflict-with-chinese-techno-nationalism-isnt-coming-its-already-here/
75,semiconductor,china,5G chipmaker Sumitomo Electric hedges bet on top client ...,"The semiconductors generate tens of billions of yen (10 billion yen ... 
Huawei is caught in the U.S.-China frictions, and its products are ...",21 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Electronics/5G-chipmaker-Sumitomo-Electric-hedges-bet-on-top-client-Huawei
76,semiconductor,china,Chipmaking Tool Supplier Expects Demand Boom to Last Years,"The provider of semiconductor fabrication tools expects orders from ... 
ongoing U.S.-China trade tensions, with several Chinese companies ...",14 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-01-15/chipmaking-tool-supplier-expects-demand-boom-to-last-years
77,semiconductor,china,Japan's Renesas steps in to ease automotive chip shortage,"Asahi Kasei halted output of a semiconductor after a massive fire in 
October at a plant operated by group company Asahi Kasei Microdevices.",27 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Tech/Semiconductors/Japan-s-Renesas-steps-in-to-ease-automotive-chip-shortage
78,semiconductor,china,Chinese telcos face sell-off risks ahead of New York bourse expulsion,"to Semiconductor Manufacturing International Corp. The US exchange will 
remove American depositary receipts (ADRs) issued by China Telecom, ...",1 Jan 2021,South China Morning Post,https://www.scmp.com/business/companies/article/3116108/china-mobile-telco-peers-face-selling-pressure-hong-kong-nyse
79,semiconductor,china,The Chip Industry's Next-Gen Roadmap - SemiEngineering,"SE: China's government is pouring $150 billion of funding to develop its 
semiconductor industry. The European Union (EU) recently launched a ...",21 Jan 2021,Semiconductor Engineering,https://semiengineering.com/the-chip-industrys-next-gen-roadmap/
80,semiconductor,china,Chinese telcos face sell-off risks ahead of New York bourse expulsion,"to Semiconductor Manufacturing International Corp. The US exchange will 
remove American depositary receipts (ADRs) issued by China Telecom, ...",1 Jan 2021,South China Morning Post,https://www.scmp.com/business/companies/article/3116108/china-mobile-telco-peers-face-selling-pressure-hong-kong-nyse
81,semiconductor,china,The Chip Industry's Next-Gen Roadmap - SemiEngineering,"SE: China's government is pouring $150 billion of funding to develop its 
semiconductor industry. The European Union (EU) recently launched a ...",21 Jan 2021,Semiconductor Engineering,https://semiengineering.com/the-chip-industrys-next-gen-roadmap/
82,semiconductor,china,China FTSE Russell to Remove More Chinese Companies ...,"The three companies being removed are China United Network Communications, 
Semiconductor Manufacturing International Corporation and Nanjing ...",6 Jan 2021,Regulation Asia,https://www.regulationasia.com/ftse-russell-to-remove-more-chinese-companies-from-indexes/
83,semiconductor,china,"Intel's build-in-America emphasis is about more than profits — it's also 
about national security","The Chinese show of force came days after investors sent shares of 
semiconductor giant Intel Corp. INTC, -0.95% tumbling, thanks in part to ...",28 Jan 2021,MarketWatch,https://www.marketwatch.com/story/intels-build-in-america-emphasis-is-about-more-than-profits-its-also-about-national-security-11611790350
84,semiconductor,china,U.S. Government Sanctions Chinese and Russian Entities and ...,"On December 18, BIS announced export sanctions against Semiconductor 
Manufacturing International Corporation (“SMIC”), ...",14 Jan 2021,JD Supra,https://www.jdsupra.com/legalnews/u-s-government-sanctions-chinese-and-5672647/
85,semiconductor,china,China Forecast to Fall Far Short of its “Made in China 2025 ...,"IC Insights forecasts China-produced ICs will represent only 19.4% of its 
IC market in 2025, a fraction of the Made in China 2025 goal of ...",13 Jan 2021,EE Times Asia,https://www.eetasia.com/china-forecast-to-fall-far-short-of-its-made-in-china-2025-goals-for-ics/
86,semiconductor,china,How did we end up with this chip shortage?,"From India to China to the US, automakers cannot make vehicles — not ... 
Consider the number and types of semiconductor chips that go into a ...",24 Jan 2021,Taipei Times,https://taipeitimes.com/News/biz/archives/2021/01/24/2003751098
87,semiconductor,china,Semiconductor Shortage Delays Global Automotive Sector ...,"Chinese local brands may be less affected than many global brands as they 
were more optimistic about the local market recovery and placed larger ...",29 Jan 2021,Fitch Ratings,https://www.fitchratings.com/research/corporate-finance/semiconductor-shortage-delays-global-automotive-sector-recovery-29-01-2021
88,semiconductor,china,Top 10 Chinese listed companies by market value ...,"Replacing the Industrial and Commercial Bank of China, Taiwan Semiconductor 
Manufacturing Company took third on the list.",8 Jan 2021,China Daily,https://www.chinadaily.com.cn/a/202101/08/WS5ff78dc0a31024ad0baa1377.html
89,semiconductor,china,Still Own Blacklisted Chinese Stocks? You May Be Stuck in Limbo for a While.,"... decision to delist three Chinese telecoms, China Telecom (ticker: CHA), 
... Chinese oil company Cnooc (CEO) and chip maker Semiconductor ...",30 Jan 2021,Barron's,https://www.barrons.com/articles/still-own-blacklisted-chinese-stocks-why-investors-may-be-in-limbo-for-a-while-51612015200
